nbs_id,table,category,family,searched,screened,verified,last_run_id,updated,by,note
agroforestry,T4,stock,,done,done,done,relverify_2026-06,2026-06-17,orchestrator,
agroforestry,T4,grey,,in_progress,done,in_progress,grey_af_2026-06,2026-06-20,orchestrator,Central guardrail (verbatim+check_numbers) passed; pending QA-review sign-off
agroforestry,T3,stock,,done,done,done,relverify_2026-06,2026-06-17,orchestrator,
agroforestry,T3,grey,,in_progress,done,done,relverify_2026-06,2026-06-17,orchestrator,2 WB project docs only; no systematic grey search
agroforestry,T6,stock,,done,done,done,relverify_2026-06,2026-06-17,orchestrator,
agroforestry,T6,grey,,in_progress,done,done,relverify_2026-06,2026-06-17,orchestrator,2 WB project docs only; no systematic grey search
agroforestry,T4,updated_lit,,in_progress,done,in_progress,openalex_af_2026-06,2026-06-19,orchestrator,Central guardrail (verbatim+check_numbers) passed; pending QA-review dashboard sign-off
agroforestry,T6,updated_lit,,in_progress,done,in_progress,openalex_af_2026-06,2026-06-19,orchestrator,Central guardrail (verbatim+check_numbers) passed; pending QA-review dashboard sign-off
agroforestry,T4,tool,,in_progress,done,in_progress,tool_af_2026-06,2026-06-21,orchestrator,Central guardrail (verbatim section-locator) passed; pending QA-review sign-off
