title,year,cites,open_access,doi,venue,status,date_seen,sweep,note
The potential of agroforestry to buffer climate change impacts on suitability of coffee and banana in Uganda,2024,17,True,https://doi.org/10.1007/s10457-024-01025-3,Agroforestry Systems,extracted,2026-06-19,openalex_af_2026-06,cached .cache/corpus/abigaba_2024.pdf; extracted to SRC/EV (openalex_af_2026-06)
"Suitability mapping of agroforestry in Shimla district, Himachal Pradesh, India, using analytic hierarchy process (AHP) and fuzzy analytic hierarchy process (Fuzzy AHP)",2025,5,False,https://doi.org/10.1007/s10457-025-01194-9,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
Assessing Soil and Land Suitability of an Olive–Maize Agroforestry System Using Machine Learning Algorithms,2024,5,True,https://doi.org/10.3390/crops4030022,Crops,acquire_failed,2026-06-19,openalex_af_2026-06,OA download blocked (403 / landing-page only)
"Enhancing Coffee Agroforestry Systems Suitability Using Geospatial Analysis and Sentinel Satellite Data in Gedeo Zone, Ethiopia",2024,4,True,https://doi.org/10.3390/s24196287,Sensors,acquire_failed,2026-06-19,openalex_af_2026-06,OA download blocked (403 / landing-page only)
"Comprehensive Assessment of Land Criticality and Agroforestry Suitability in the Upper Cikeruh Sub-Watershed, a Degraded Priority Area in Indonesia",2025,3,True,https://doi.org/10.3390/su17062675,Sustainability,deferred,2026-06-19,openalex_af_2026-06,
"Agroforestry suitability evaluation using remote sensing in Jatiyoso Sub-district, Karanganyar District, Central Java, Indonesia",2024,3,True,https://doi.org/10.13057/biodiv/d241239,Biodiversitas Journal of Biological Diversity,deferred,2026-06-19,openalex_af_2026-06,
"Evaluating agroforestry systems for sustainable land management and climate resilience in Siddipet District, central agroclimatic zone, Telangana, India",2025,2,False,https://doi.org/10.1080/21683565.2025.2508203,Agroecology and Sustainable Food Systems,deferred,2026-06-19,openalex_af_2026-06,
"Suitability analysis for agroforestry in District Hamirpur of Himachal Pradesh, India by using AHP method",2025,1,False,https://doi.org/10.1007/s10457-025-01139-2,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
"Suitability of Melia dubia Based Agroforestry in Eastern Uttar Pradesh, India",2024,1,True,https://doi.org/10.52804/ijaas2024.522,International Journal of Agricultural and Applied Sciences,deferred,2026-06-19,openalex_af_2026-06,
"Evaluating land suitability for kemiri (Aleurites moluccana) as a multi-purpose tree species in community agroforestry land within Langkat District, North Sumatra",2024,1,True,https://doi.org/10.32734/gfj.v2i02.15626,Global Forest Journal,deferred,2026-06-19,openalex_af_2026-06,
Enhancing ecosystem services to mitigate agro-environmental pressures: integrating participatory mapping and land suitability analysis for crop-livestock mixed farming and agroforestry systems,2026,0,True,https://doi.org/10.1007/s10457-026-01461-3,Agroforestry Systems,extracted,2026-06-19,openalex_af_2026-06,cached .cache/corpus/mantino_2026.pdf; extracted to SRC/EV (openalex_af_2026-06)
"Agroforestry in India: review of strategic models, suitability assessment and adoption across agro-ecological regions",2026,0,False,https://doi.org/10.1007/s10457-026-01527-2,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
"Scaling agroforestry land suitability analysis in Odisha, India: a machine learning approach",2026,0,True,https://doi.org/10.3389/frsen.2026.1780218,Frontiers in Remote Sensing,extracted,2026-06-19,openalex_af_2026-06,cached .cache/corpus/singh_2026.pdf; extracted to SRC/EV (openalex_af_2026-06)
Evaluation of Land Suitability for Teak (Tectona grandis L.) and Peanut (Arachis hypogaea L.) Agroforestry Development in the Upper Solo Sub-watershed,2024,0,True,https://doi.org/10.37251/jouabe.v1i2.3119,Journal of Academic Biology and Biology Education,deferred,2026-06-19,openalex_af_2026-06,
"Evaluating land suitability for kemiri (Aleurites moluccana) as a multi-purpose tree species in community agroforestry land within Langkat District, North Sumatra",2024,0,False,,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),deferred,2026-06-19,openalex_af_2026-06,
"Assessing the Potential for Agroforestry in Pokhara, Nepal: An Investigation of the Decline of Agricultural Land Use Along a Rural–Urban Gradient and Land Suitability Analysis",2026,0,True,https://doi.org/10.1002/pei3.70148,Plant-Environment Interactions,deferred,2026-06-19,openalex_af_2026-06,
Agroforestry-Silvopastoral Systems Suitability for the Plateau Landforms: Devrekani Plateau (Northern Turkiye),2024,0,True,https://doi.org/10.14710/geoplanning.11.2.139-148,Geoplanning Journal of Geomatics and Planning,deferred,2026-06-19,openalex_af_2026-06,
Agroforestry-Silvopastoral Systems Suitability for the Plateau Landforms: Devrekani Plateau (Northern Turkiye),2024,0,True,https://doi.org/10.14710/geoplanning.11.2.19-28,Geoplanning Journal of Geomatics and Planning,deferred,2026-06-19,openalex_af_2026-06,
Suitability analysis of agroforestry in Himachal Pradesh by using a multi-criteria GIS–AHP approach,2026,0,False,https://doi.org/10.1007/s10457-026-01538-z,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
"GIS-based land suitability mapping for agroforestry development in Gunung Mas, Central Kalimantan, Indonesia",2026,0,True,https://doi.org/10.13057/asianjfor/r100109,Asian Journal of Forestry,deferred,2026-06-19,openalex_af_2026-06,
Modeling agroforestry tree species suitability in Punjab using deep neural networks and SHAP analysis,2026,0,False,https://doi.org/10.1007/s10457-026-01543-2,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
Evaluation of Agroforestry Suitability in Tazekka National Park: A geospatial approach based on Google Earth Engine,2026,0,True,https://doi.org/10.5194/isprs-archives-xlviii-4-w17-2025-369-2026,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",deferred,2026-06-19,openalex_af_2026-06,
Agroforestry Site Suitability for Wasteland Greening - A case study of selected districts of various agroclimatic zones,2024,0,True,https://doi.org/10.58825/jog.2024.18.1.103,Journal of Geomatics,deferred,2026-06-19,openalex_af_2026-06,
"Land Suitability of Agroforestry Components in Tompo Bulu Village, Bulupoddo District, Sinjai Regency",2024,0,True,https://doi.org/10.1088/1755-1315/1430/1/012008,IOP Conference Series Earth and Environmental Science,deferred,2026-06-19,openalex_af_2026-06,
Effect of agroforestry shading on Robusta coffee (Coffea canephora) suitability under climate change in Uganda,2026,0,False,https://doi.org/10.1007/s10457-026-01558-9,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
"AGROFORESTRY SYSTEMS BASED ON LAND SUITABILITY IN SOCIAL FORESTRY AREAS IN BARRU REGENCY, SOUTH SULAWESIi",2025,0,True,https://doi.org/10.32662/gjfr.v8i2.4440,Gorontalo Journal of Forestry Research,deferred,2026-06-19,openalex_af_2026-06,
"Soil Quality in Land Suitability Analysis of Coffee Agroforestry in Patokpicis Village, Wajak District, Malang Regency",2024,0,True,https://doi.org/10.21776/ub.jcs.2024.01.03.03,Journal of Coffee and Sustainability.,extracted,2026-06-19,openalex_af_2026-06,cached .cache/corpus/affan_2024.pdf; extracted to SRC/EV (openalex_af_2026-06)
Evaluating the effects of various agroforestry systems on soil physicochemical properties to enhance sustainable land use and productivity,2025,0,True,https://doi.org/10.54219/globalforests.04.01.2025.233,Global Forests,deferred,2026-06-19,openalex_af_2026-06,
Evaluating land and tree cover datasets for the identification of agroforestry in temperate Europe,2026,0,True,https://doi.org/10.5194/egusphere-egu26-12956,,deferred,2026-06-19,openalex_af_2026-06,
