variable_id,dataset_id,risk_component,hazard_type,scenario_type,use_in_simplified_mode,use_in_advanced_mode,double_count_risk,normalisation_method,normalisation_params,weight_default,weight_adjustable,directionality,justification,variable,evidence_ids
drought_spei12_baseline,spei_global_v26,hazard,drought,baseline,True,True,risk_only,percentile_clip,"{""p_low"": 2, ""p_high"": 98}",0.175,True,positive_risk,"SPEI-12 is the standard metric for agricultural drought, capturing cumulative moisture deficit over a 12-month window. It is directly relevant to agroforestry systems where tree establishment and early canopy development are sensitive to prolonged dry periods. Brandt et al. (2015) and Mendonça et al. (2022) use precipitation/aridity exposure as the primary climate hazard layer in CSA/agroforestry suitability frameworks. Drought is the dominant climate barrier for agroforestry adoption in semi-arid Africa and South Asia (Ahmad et al. 2020).",drought_spei12_baseline,[]
heat_stress_tmax_baseline,chelsa_bioclim_v21_baseline,hazard,heat_stress,baseline,False,True,risk_only,percentile_clip,"{""p_low"": 5, ""p_high"": 95}",0.087,True,positive_risk,Extreme heat events damage tree seedlings and reduce photosynthetic efficiency. Yadav et al. (2024) use Tmax_May (hottest pre-monsoon month) and Tmax_Jan as key inputs to AHP-based agroforestry suitability in Punjab. BIO5 (max temp of warmest month) is the most agriculturally relevant temperature extreme for heat stress assessment.,heat_stress_tmax_baseline,[]
flood_exposure_baseline,chelsa_bioclim_v21_baseline,hazard,flood,baseline,False,True,risk_only,percentile_clip,"{""p_low"": 2, ""p_high"": 98}",0.058,True,positive_risk,"Heavy rainfall events cause soil waterlogging and root damage in agroforestry systems, particularly in low-lying and floodplain areas. Castle et al. (2025) treat flood hazard as a suitability constraint for agroforestry in the US Midwest, excluding floodplain areas. Baldwin et al. (2022) integrate flood inundation as a key exposure layer. BIO13 (wettest month precipitation) is a practical proxy for flood-generating rainfall intensity at 1 km resolution.",flood_exposure_baseline,[]
agricultural_cropland_exposure,esa_worldcover_2021,exposure,,baseline,True,True,risk_only,min_max,{},0.117,True,positive_risk,Agricultural land is the primary exposure element for climate risks affecting agroforestry investment. Higher proportions of cropland and pasture indicate greater exposure of rural livelihoods to climate hazards. Used implicitly or explicitly across the majority of the 23 agroforestry stocktake papers as the base land-use layer defining the eligible intervention space.,agricultural_cropland_exposure,[]
population_exposure_rural,worldpop_population_density,exposure,,baseline,True,True,shared,log_transform,{},0.058,True,positive_risk,Higher rural population density amplifies the human exposure dimension of climate risk and also signals greater potential beneficiary reach of agroforestry investments. Applied as a shared variable — used in risk (exposure component) and retained in opportunity space (beneficiary reach) with double_count_risk guard set to 'shared'.,population_exposure_rural,[]
soil_degradation_sensitivity,isric_soilgrids250_v2,sensitivity,,baseline,True,True,risk_only,percentile_clip,"{""p_low"": 5, ""p_high"": 95}",0.087,True,positive_risk,"Soils with low organic carbon and high sand content are more sensitive to drought and erosion, and agroforestry systems on such soils are more vulnerable to climate shocks. Ahmad & Goparaju (2017) and Haile (2024) identify nutrient availability and soil quality as primary sensitivity indicators for agroforestry viability. Low-nutrient capital soils exhibit high sensitivity in the CrossBoundary fragile_gains archetype.",soil_degradation_sensitivity,[]
adaptive_capacity_road_access,osm_road_network,adaptive_capacity,,baseline,False,True,shared,linear_decay,"{""suitable_max"": 0, ""unsuitable_min"": 10000}",0.058,True,negative_risk,"Access to roads and markets enables farmers to access inputs, extension services, and output markets — all of which increase adaptive capacity to climate shocks. Remoteness (high road distance) reduces adaptive capacity. Chuma et al. (2021) use distance to roads as an agroforestry suitability criterion. Castle et al. (2025) include infrastructure connectivity as a social-ecological suitability layer.",adaptive_capacity_road_access,[]
drought_spei12_ssp245_2050,chelsa_bioclim_ssp245_2050,hazard,drought,future_ssp245,True,True,risk_only,percentile_clip,"{""p_low"": 2, ""p_high"": 98}",1.0,True,positive_risk,"Future drought risk under SSP2-4.5 is the key forward-looking hazard for long-horizon agroforestry investments. Mendonça et al. (2022) incorporate future climate projections (precipitation anomaly 2050) as a driver of agroforestry prioritisation. Given agroforestry establishment periods of 5–15 years, decisions made today need to account for mid-century climate conditions.",drought_spei12_ssp245_2050,[]
flood_hazard_runoff_depth,scs_cn_runoff_composite,hazard,flood,baseline,True,True,shared,percentile_clip,"{""p_low"": 2, ""p_high"": 98}",0.182,True,positive_risk,High runoff depth is simultaneously a flood hazard indicator AND the primary measure of water harvesting opportunity. Terencio et al. (2017) weight overflood risk as a suitability barrier. Abd-el-Kader et al. (2023) and Ahmad et al. (2024) explicitly target high-runoff zones as RWH sites for flood-risk adaptation. Shared variable - used in risk (flood hazard) and opportunity space (RWH potential).,flood_hazard_runoff_depth,[]
rainfall_variability_exposure,chirps_precipitation_v2,exposure,drought,baseline,True,True,risk_only,percentile_clip,"{""p_low"": 5, ""p_high"": 95}",0.107,True,positive_risk,"High inter-annual rainfall variability exposes rain-fed systems to erratic water availability, increasing the value of storage. Mahmoud et al. (2014) use rainfall variability in RWH site prioritisation. Khan et al. (2022) quantify climate-driven reductions in reliable rainfall as a key exposure driver.",rainfall_variability_exposure,[]
soil_permeability_sensitivity,isric_soilgrids250_v2,sensitivity,,baseline,False,True,risk_only,percentile_clip,"{""p_low"": 5, ""p_high"": 95}",0.071,True,positive_risk,"High-permeability soils have low water retention, making systems more sensitive to drought. Vema et al. (2019) use soil permeability as a direct suitability input. Bera & Mukhopadhyay (2023) include soil texture as a key sensitivity variable.",soil_permeability_sensitivity,[]
