mapping_id,nbs_id,dataset_id,suitability_dimension,relationship_type,relationship_params,uncertainty_pct,context_overrides,is_scenario_candidate,scenario_label,scenario_description,has_future_projection,baseline_dataset_id,future_dataset_ids,weight_default,weight_adjustable,justification,variable,suitability_family_id,evidence_ids,n_sources,corpus_n,paper_support_pct
agro_slope_global,agroforestry,srtm_dem_90m,biophysical_constraint,trapezoidal,"{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":5.0,""abs_max"":24.0}",60.0,"[{""context_type"":""aez"",""context_id"":""humid_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":2.9,""abs_max"":24.0},""note"":""Context-specific evidence (ev_slope_nath21, ev_slope_mendonca22, ev_slope_mendonca23, ev_slope_haris21, ev_slope_wotlolan21, ev_slope_chuma21).""},{""context_type"":""aez"",""context_id"":""semi_arid"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":2.3,""abs_max"":5.1},""note"":""Context-specific evidence (ev_slope_haile24).""},{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":5.0,""abs_max"":15.0},""note"":""Context-specific evidence (ev_slope_ahmad_gop17, ev_slope_seja22, ev_slope_ahmad18, ev_slope_rizvi23).""},{""context_type"":""aez"",""context_id"":""highland_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":10.0,""abs_max"":40.0},""note"":""Context-specific evidence (ev_slope_mushtaq23).""}]",false,,,false,,,0.15,true,"Reconciled from 16 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.0, 'opt_low': 0.0, 'opt_high': 5.0, 'abs_max': 24.0}; uncertainty ±60% from spread. 4 context override(s). ",slope,agroforestry__planted_silvoarable,"[""ev_slope_ahmad18"",""ev_slope_ahmad_gop17"",""ev_slope_chuma21"",""ev_slope_haile24"",""ev_slope_haris21"",""ev_slope_mendonca22"",""ev_slope_mendonca23"",""ev_slope_miller20"",""ev_slope_mushtaq23"",""ev_slope_nair93"",""ev_slope_nath21"",""ev_slope_rizvi23"",""ev_slope_seja22"",""ev_slope_wocat_liniger11"",""ev_slope_wotlolan21"",""ev_slope_zomer14""]",16,36,46.3
agro_annual_precip_global,agroforestry,worldclim_v2_bioclim,biophysical_constraint,trapezoidal,"{""abs_min"":770.0,""opt_low"":800.0,""opt_high"":1000.0,""abs_max"":1500.0}",60.0,"[{""context_type"":""aez"",""context_id"":""humid_tropics"",""relationship_params"":{""abs_min"":1000.0,""opt_low"":2000.0,""opt_high"":3000.0},""note"":""Context-specific evidence (ev_precip_nath21).""},{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":770.0,""opt_low"":985.0,""opt_high"":1500.0,""abs_max"":1500.0},""note"":""Context-specific evidence (ev_precip_ahmad_gop17, ev_precip_seja22, ev_precip_rizvi23).""}]",false,,,true,worldclim_v2_bioclim,"{""ssp245"":""chelsa_bioclim_ssp245_2050""}",0.15,true,"Reconciled from 10 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 770.0, 'opt_low': 800.0, 'opt_high': 1000.0, 'abs_max': 1500.0}; uncertainty ±60% from spread. 2 context override(s). Dropped 4 (scope/role). ",annual_precipitation,agroforestry__planted_silvoarable,"[""ev_annual_precipitation_wb16"",""ev_precip_ahmad_gop17"",""ev_precip_brandt15"",""ev_precip_castle25"",""ev_precip_haile24"",""ev_precip_haris21"",""ev_precip_mushtaq23"",""ev_precip_nath21"",""ev_precip_palma07"",""ev_precip_rizvi23"",""ev_precip_seja22"",""ev_precip_wocat_liniger11"",""ev_precip_wotlolan21"",""ev_precip_yadav24""]",14,36,41.6
agro_mean_annual_temp_global,agroforestry,worldclim_v2_bioclim,biophysical_constraint,trapezoidal,"{""abs_min"":5.0,""opt_low"":20.0,""opt_high"":25.5,""abs_max"":21.3}",60.0,"[{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":16.2,""opt_low"":17.9,""opt_high"":19.1,""abs_max"":21.3},""note"":""Context-specific evidence (ev_temp_seja22, ev_temp_ahmad20).""}]",false,,,true,worldclim_v2_bioclim,"{""ssp245"":""chelsa_bioclim_ssp245_2050""}",0.1,true,"Reconciled from 6 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 5.0, 'opt_low': 20.0, 'opt_high': 25.5, 'abs_max': 21.3}; uncertainty ±60% from spread. 1 context override(s). Dropped 2 (scope/role). ",mean_annual_temperature,agroforestry__planted_silvoarable,"[""ev_temp_ahmad20"",""ev_temp_chuma21"",""ev_temp_mushtaq23_generic"",""ev_temp_mushtaq23_mulberry"",""ev_temp_nath21"",""ev_temp_palma07"",""ev_temp_seja22"",""ev_temp_yadav24""]",7,36,20.0
agro_soil_ph_global,agroforestry,isric_soilgrids250_v2,biophysical_constraint,trapezoidal,"{""abs_min"":5.0,""opt_low"":6.5,""opt_high"":7.3,""abs_max"":8.5}",18.0,,false,,,false,,,0.1,true,"Reconciled from 7 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 5.0, 'opt_low': 6.5, 'opt_high': 7.3, 'abs_max': 8.5}; uncertainty ±18% from spread. Dropped 2 (scope/role). ",soil_ph,agroforestry__planted_silvoarable,"[""ev_ph_ahmad18"",""ev_ph_ahmad_gop17"",""ev_ph_castle25"",""ev_ph_haile24"",""ev_ph_mushtaq23"",""ev_ph_nath21"",""ev_ph_rizvi23"",""ev_ph_wotlolan21"",""ev_soil_ph_wb22""]",9,36,25.2
agro_soil_organic_carbon_global,agroforestry,isric_soilgrids250_v2,biophysical_constraint,linear_increasing,"{""abs_min"":0.5,""opt_low"":0.8}",60.0,,false,,,false,,,0.08,true,"Reconciled from 6 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.5, 'opt_low': 0.8}; uncertainty ±60% from spread. Dropped 1 (scope/role). ",soil_organic_carbon,agroforestry__planted_silvoarable,"[""ev_soc_ahmad18"",""ev_soc_ahmad_gop17"",""ev_soc_brandt15"",""ev_soc_castle25"",""ev_soc_haile24"",""ev_soc_nath21"",""ev_soc_yadav24""]",7,36,19.6
agro_soil_drainage_global,agroforestry,hwsd_v2,biophysical_constraint,ranked_classes,"{""abs_min"":1.0,""opt_low"":3.0,""opt_high"":4.0,""abs_max"":6.0}",10.0,,false,,,false,,,0.08,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 1.0, 'opt_low': 3.0, 'opt_high': 4.0, 'abs_max': 6.0}; uncertainty ±10% from spread. ",soil_drainage,agroforestry__planted_silvoarable,"[""ev_drainage_castle25"",""ev_drainage_mushtaq23"",""ev_drainage_nath21""]",3,36,10.0
agro_land_cover_eligibility,agroforestry,esa_worldcover_2021,system_constraint,ranked_classes,"{""class_map"":{""10"":1.0,""20"":0.9,""30"":0.7,""40"":0.5,""50"":0.0,""60"":0.3,""70"":0.0,""80"":0.0,""90"":0.4,""95"":0.0,""100"":0.2},""class_labels"":{""10"":""Tree cover (existing AF potential)"",""20"":""Shrubland (high conversion potential)"",""30"":""Grassland (high conversion potential)"",""40"":""Cropland (primary target)"",""50"":""Built-up (exclude)"",""60"":""Bare/sparse vegetation (low potential)"",""70"":""Snow/ice (exclude)"",""80"":""Permanent water (exclude)"",""90"":""Herbaceous wetland (low, conditional)"",""95"":""Mangroves (different NbS)"",""100"":""Moss/lichen (low)""}}",0.0,,false,,,false,,,0.1,false,"Land cover is an eligibility filter, not a graduated suitability variable. Cropland (class 40) and grassland/pasture (20, 30) are the primary targets for agroforestry integration. Built-up, water, ice, and mangroves are hard exclusions. Used as the primary land-use mask in Ahmad et al. (2020), Castle et al. (2025), Baldwin et al. (2022), and the majority of stocktake papers.",land_cover,agroforestry__planted_silvoarable,"[""ev_cropland_accounting_tnc25"",""ev_extent_cropland_tnc25"",""ev_extent_savanna_tnc25"",""ev_forest_suitability_fesenmyer25"",""ev_hierarchy_accounting_tnc25"",""ev_landcover_brandt15"",""ev_lulc_mendonca22"",""ev_lulc_mendonca23"",""ev_wetlands_accounting_tnc25""]",6,36,25.0
agro_protected_areas_exclusion,agroforestry,protected_areas_wdpa,operational_constraint,threshold,"{""threshold"":""IUCN_Cat_I_II"",""above_is_suitable"":false}",0.0,,false,,,false,,,1.0,false,Strict nature reserves (IUCN I–II) prohibit agricultural intervention including agroforestry. Hard exclusion required regardless of biophysical suitability. Chuma et al. (2021) use the Itombwe Nature Reserve boundary as a hard exclusion layer in DR Congo agroforestry suitability mapping. Pinto et al. (2019) use protected area boundaries as planning zones in Montado conservation prioritisation.,protected_area_status,agroforestry__planted_silvoarable,"[""ev_protected_brandt15"",""ev_protected_mendonca22"",""ev_protected_mendonca23""]",3,36,13.2
agro_road_access_scenario,agroforestry,osm_road_network,operational_constraint,linear_decreasing,"{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":3.0,""abs_max"":20.0}",60.0,,true,What if roads were accessible?,"Removes road access as a constraint, showing the additional agroforestry opportunity space that would become viable if road infrastructure investments were made. Toggle off to treat all areas as equally accessible for investment planning purposes.",false,,,0.08,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.0, 'opt_low': 0.0, 'opt_high': 3.0, 'abs_max': 20.0}; uncertainty ±60% from spread. ",distance_to_road,agroforestry__planted_silvoarable,"[""ev_road_brandt15"",""ev_road_chuma21"",""ev_road_nath21""]",3,36,10.0
agro_aridity_index_global,agroforestry,global_aridity_index_v3,biophysical_constraint,trapezoidal,"{""abs_min"":5000.0,""opt_low"":35000.0}",20.0,,false,,,false,,,0.08,true,"Reconciled from 1 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 5000.0, 'opt_low': 35000.0}; uncertainty ±20% from spread. ",aridity_index,agroforestry__planted_silvoarable,"[""ev_ai_nath21""]",1,36,2.8
agro_tree_cover_existing,agroforestry,hansen_treecover2000,biophysical_constraint,trapezoidal,"{""abs_min"":1.0,""opt_low"":1.0,""opt_high"":41.0,""abs_max"":40.0}",60.0,,false,,,false,,,0.08,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 1.0, 'opt_low': 1.0, 'opt_high': 41.0, 'abs_max': 40.0}; uncertainty ±60% from spread. Dropped 1 (scope/role). Collapsed 1 citation echo(es). ",tree_canopy_cover,agroforestry__planted_silvoarable,"[""ev_canopy_diouf25"",""ev_canopy_nath21"",""ev_max_tree_cover_cropland_hyppolite24"",""ev_max_tree_cover_savanna_hyppolite24"",""ev_tree_canopy_cover_wb16""]",4,36,15.8
agro_accessibility_scenario,agroforestry,nelson_accessibility_2015,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if accessibility improved?,Removes travel-time penalty (e.g. road or feeder-road investment); shows where market access is the binding lever.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",accessibility_travel_time,agroforestry__planted_silvoarable,,0,36,0.0
agro_electrification_scenario,agroforestry,viirs_nighttime_lights,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if electrification improved?,Removes grid-coverage penalty; shows where electrification unlocks cold-chain / processing potential.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",electrification_index,agroforestry__planted_silvoarable,,0,36,0.0
agro_tenure_scenario,agroforestry,landmark_iplc_lands,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if tenure security improved?,Removes tenure-security penalty; carries FPIC/ESS7 flag on IPLC overlap (LandMark + WWF/ICCA).,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",tenure_security,agroforestry__planted_silvoarable,"[""ev_tenure_gca22""]",1,36,4.5
agro_conflict_scenario,agroforestry,acled_conflict_events,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if conflict subsided?,Removes ACLED/WB-FCV penalty; flags fragility-affected contexts for downstream WB FCV operating procedures.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",conflict_fragility_index,agroforestry__planted_silvoarable,,0,36,0.0
agro_extension_scenario,agroforestry,wb_wgi_governance,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if extension services expanded?,Removes extension/governance penalty; surfaces where extension is the bottleneck.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",extension_governance,agroforestry__planted_silvoarable,,0,36,0.0
agro_finance_scenario,agroforestry,wb_findex_access,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if rural finance was available?,Removes finance-access penalty; surfaces credit/microfinance gaps.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",finance_credit_access,agroforestry__planted_silvoarable,"[""ev_finance_gca22""]",1,36,4.5
agro_market_value_chain_scenario,agroforestry,faostat_country_indicators,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if value chains were stronger?,Removes value-chain-depth penalty; surfaces where market connections are the binding lever.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",market_value_chain,agroforestry__planted_silvoarable,,0,36,0.0
agro_labour_scenario,agroforestry,ilo_labour_statistics,operational_constraint,linear_increasing,"{""abs_min"":0,""opt_low"":1}",30.0,,true,What if seasonal labour was available?,Removes labour-availability penalty; surfaces where labour constraints bind.,false,,,0.1,true,"M2b Stream-B operational lever (v0.3.0). Scenario candidate — TTL toggles in M4 to see how investment-addressable enabling-environment improvements expand the opportunity space. Filter/flag, never summed.",labour_availability,agroforestry__planted_silvoarable,,0,36,0.0
